cpu_usage_percent,memory_usage_percent,gpu_memory_used_mb,gpu_memory_total_mb,preprocess_time,classification_time,gradcam_time,clinicalqa_time,total_time,predicted_class,confidence_percent,normal_prob_percent,pneumonia_prob_percent,image_name,total_process_time
0.8,31.2,89.92773438,11875.3125,0.002469063,0.155919313,0.089536667,1.760462448,2.008387491,Pneumonia,99.993706,0.006292086,99.993706,person1_bacteria_1.jpeg,1.24941659
0.4,32.2,199.9047852,11875.3125,0.003214598,0.041621447,0.010275841,1.649351966,1.704463851,Pneumonia,99.8244,0.17560036,99.8244,person1_bacteria_2.jpeg,1.05770874
0.6,32.2,199.9672852,11875.3125,0.002029657,0.047216177,0.007812738,2.091253838,2.148312411,Pneumonia,99.9997,0.000288406,99.9997,person1_virus_11.jpeg,1.05830431
0.4,32.2,199.9672852,11875.3125,0.002422333,0.042815685,0.008134365,2.149764477,2.20313686,Pneumonia,99.99865,0.001358025,99.99865,person1_virus_12.jpeg,1.055311441
0.7,32.2,199.9672852,11875.3125,0.002409935,0.048682213,0.008423805,1.701595198,1.761111151,Pneumonia,99.88292,0.11708174,99.88292,person1_virus_13.jpeg,1.061545849
0.8,32.3,199.9672852,11875.3125,0.002188444,0.034790516,0.00831008,1.809722555,1.855011595,Pneumonia,99.99931,0.000679025,99.99931,person1_virus_6.jpeg,1.047278404
0.4,32.2,199.9672852,11875.3125,0.002186298,0.045547247,0.008159399,1.55001386,1.605906804,Pneumonia,99.9995,0.000504453,99.9995,person1_virus_7.jpeg,1.057794571
0.4,32.2,199.9672852,11875.3125,0.002130508,0.045329571,0.007979155,2.090713789,2.146153023,Pneumonia,99.9995,0.000511166,99.9995,person1_virus_8.jpeg,1.057318449
0.5,32.2,199.9672852,11875.3125,0.00203371,0.034299135,0.007776022,1.933636003,1.977744871,Pneumonia,99.99992,8.67E-05,99.99992,person1_virus_9.jpeg,1.045940638
0.4,32.2,199.9672852,11875.3125,0.002408981,0.034509182,0.008335829,1.525952729,1.571206721,Pneumonia,99.992546,0.007456586,99.992546,person10_bacteria_43.jpeg,1.047114611
0.8,32.2,199.9672852,11875.3125,0.00464654,0.0460217,0.01216507,1.710544534,1.773377843,Pneumonia,99.545395,0.4546092,99.545395,person10_virus_35.jpeg,1.065538168
0.3,32.2,199.9672852,11875.3125,0.003047228,0.041767597,0.008603334,1.925697945,1.979116104,Pneumonia,99.83699,0.16302332,99.83699,person100_bacteria_475.jpeg,1.055472612
0.3,32.2,199.9672852,11875.3125,0.00248313,0.045380354,0.008137226,1.768797494,1.824798204,Pneumonia,99.68922,0.31079143,99.68922,person100_bacteria_477.jpeg,1.058347702
0.5,32.2,199.9672852,11875.3125,0.002376795,0.036882162,0.008569956,2.334328921,2.382157834,Pneumonia,99.99748,0.002517027,99.99748,person100_bacteria_478.jpeg,1.050014973
0.8,32.2,199.9672852,11875.3125,0.002105951,0.041367054,0.008098602,2.125158681,2.176730289,Pneumonia,99.99996,5.02E-05,99.99996,person100_bacteria_479.jpeg,1.052802324
0.5,32.2,199.9672852,11875.3125,0.002030134,0.043441296,0.007824421,2.333930062,2.387225913,Pneumonia,100,6.53E-06,100,person100_bacteria_480.jpeg,1.055131435
0.3,32.2,199.9672852,11875.3125,0.002256155,0.036742449,0.00799346,2.068257425,2.115249489,Pneumonia,99.999985,2.35E-05,99.999985,person100_bacteria_481.jpeg,1.048841715
0.4,32.2,199.9672852,11875.3125,0.002457142,0.037780285,0.008312225,1.780567221,1.829116873,Pneumonia,99.99917,0.000828837,99.99917,person100_bacteria_482.jpeg,1.050726175
0.9,32.1,199.9672852,11875.3125,0.002836227,0.034627676,0.008680344,1.972872588,2.019016835,Pneumonia,99.99889,0.001104044,99.99889,person100_virus_184.jpeg,1.04869771
0.7,32.2,199.9672852,11875.3125,0.002817869,0.03558445,0.008869886,1.613441191,1.660713396,Pneumonia,99.792305,0.20769756,99.792305,person1000_bacteria_2931.jpeg,1.049339771
0.5,32.2,199.9672852,11875.3125,0.002613783,0.034393311,0.008424759,2.24140105,2.286832902,Pneumonia,98.82986,1.1701609,98.82986,person1000_virus_1681.jpeg,1.047460794
0.4,32.2,199.9672852,11875.3125,0.003335238,0.034363508,0.009019852,1.75270538,1.799423977,Pneumonia,99.93293,0.06707526,99.93293,person1001_bacteria_2932.jpeg,1.049318075
0.6,32.2,199.9672852,11875.3125,0.003598213,0.038225651,0.009780407,1.624363135,1.675967406,Pneumonia,99.68749,0.3125106,99.68749,person1002_bacteria_2933.jpeg,1.054364204
0.4,32.2,199.9672852,11875.3125,0.005114794,0.035299301,0.011628151,2.039207317,2.091249563,Pneumonia,99.99985,0.00015524,99.99985,person1003_bacteria_2934.jpeg,1.055194855
0.7,32.2,199.9672852,11875.3125,0.002336979,0.034388781,0.008176088,2.360737275,2.405639123,Pneumonia,99.99991,0.000104366,99.99991,person1003_virus_1685.jpeg,1.047194719
0.4,32.2,199.9672852,11875.3125,0.003067017,0.034412384,0.008714914,1.871951579,1.918145894,Pneumonia,99.99887,0.001120122,99.99887,person1004_bacteria_2935.jpeg,1.048570871
0.3,32.2,199.9672852,11875.3125,0.00191617,0.034180641,0.007669926,2.138233726,2.182000463,Pneumonia,99.999916,8.59E-05,99.999916,person1004_virus_1686.jpeg,1.046162367
0.4,32.1,199.9672852,11875.3125,0.003046274,0.034386396,0.009993076,1.705598138,1.753023885,Pneumonia,99.99947,0.000525586,99.99947,person1005_bacteria_2936.jpeg,1.050055504
0.5,32.1,199.9672852,11875.3125,0.002987862,0.034105062,0.009042025,1.795823567,1.841958516,Pneumonia,99.37342,0.626581,99.37342,person1005_virus_1688.jpeg,1.048604965
1.8,32.1,199.9672852,11875.3125,0.00445509,0.034179926,0.011764526,1.755890292,1.806289834,Pneumonia,68.539825,31.460184,68.539825,person1006_bacteria_2937.jpeg,1.053684711
0.3,32.2,199.9672852,11875.3125,0.00271225,0.034045935,0.008453369,1.840726742,1.885938296,Pneumonia,99.99989,0.000104605,99.99989,person1007_bacteria_2938.jpeg,1.047492743
0.5,32.1,199.9672852,11875.3125,0.003744125,0.041572332,0.008294821,1.513440451,1.56705173,Pneumonia,99.685585,0.31441152,99.685585,person1007_virus_1690.jpeg,1.055778742
0.6,32.1,199.9672852,11875.3125,0.003093004,0.034551382,0.009415627,1.659903681,1.706963694,Pneumonia,99.982895,0.01710011,99.982895,person1008_bacteria_2939.jpeg,1.049686193
0.4,32.1,199.9672852,11875.3125,0.005451441,0.034298182,0.012360096,1.92153965,1.973649368,Pneumonia,100,4.71E-06,100,person1008_virus_1691.jpeg,1.054870605
0.6,32.2,199.9672852,11875.3125,0.004032135,0.034103632,0.009739637,2.261178223,2.309053627,Pneumonia,99.85523,0.1447647,99.85523,person1009_virus_1694.jpeg,1.050032139
0.4,32.1,199.9672852,11875.3125,0.002533674,0.034161329,0.008373976,1.66034558,1.705414559,Pneumonia,99.99993,6.75E-05,99.99993,person101_bacteria_483.jpeg,1.047002077
0.4,32.1,199.9672852,11875.3125,0.002775669,0.034312963,0.008756876,1.91089347,1.956738979,Pneumonia,99.9921,0.007900097,99.9921,person101_bacteria_484.jpeg,1.04796052
0.6,32.1,199.9672852,11875.3125,0.002564669,0.034127235,0.008338928,1.621672309,1.666703141,Pneumonia,99.99962,0.00037706,99.99962,person101_bacteria_485.jpeg,1.047060013
0.5,32.1,199.9672852,11875.3125,0.002533913,0.040982485,0.008743763,1.883884541,1.936144701,Pneumonia,99.999695,0.000302303,99.999695,person101_bacteria_486.jpeg,1.054278135
0.7,32.1,199.9672852,11875.3125,0.005484819,0.034163475,0.012777328,2.140138488,2.192564111,Pneumonia,99.9825,0.017497776,99.9825,person101_virus_187.jpeg,1.055767298
0.4,32.2,199.9672852,11875.3125,0.007248163,0.034826994,0.018809795,2.334867045,2.395751998,Pneumonia,94.84029,5.159721,94.84029,person101_virus_188.jpeg,1.064775705
1.5,32.3,199.9672852,11875.3125,0.00469327,0.035545111,0.010399103,2.117048384,2.167685868,Pneumonia,99.99391,0.006075268,99.99391,person1010_bacteria_2941.jpeg,1.053628922
0.5,32.2,199.9672852,11875.3125,0.001277924,0.034417868,0.007055759,2.096496529,2.13924808,Pneumonia,100,2.25E-09,100,person1010_virus_1695.jpeg,1.04531312
0.6,32.1,199.9672852,11875.3125,0.002186537,0.034217119,0.008775473,2.32518375,2.370362879,Pneumonia,99.999985,1.88E-05,99.999985,person1011_bacteria_2942.jpeg,1.047471762
0.5,32.1,199.9672852,11875.3125,0.002330542,0.034198284,0.00821209,1.953865281,1.998606196,Pneumonia,100,6.56E-06,100,person1012_bacteria_2943.jpeg,1.047072172
0.4,32.1,199.9672852,11875.3125,0.00401926,0.034250259,0.011144638,1.724298024,1.773712182,Pneumonia,99.010056,0.9899353,99.010056,person1014_bacteria_2945.jpeg,1.052425623
0.6,32.2,199.9672852,11875.3125,0.005988359,0.0343256,0.013422966,2.198475441,2.252212366,Pneumonia,100,2.16E-06,100,person1015_virus_1701.jpeg,1.057315588
0.4,32.3,199.9672852,11875.3125,0.006220341,0.03453064,0.012843609,2.293138204,2.346732793,Pneumonia,99.999985,2.72E-05,99.999985,person1015_virus_1702.jpeg,1.057549953
0.8,32.3,199.9672852,11875.3125,0.002253056,0.034567118,0.007940292,1.648370532,1.693130998,Pneumonia,99.99993,7.89E-05,99.99993,person1016_bacteria_2947.jpeg,1.047531366
0.5,32.2,199.9672852,11875.3125,0.003726244,0.034048557,0.009761572,1.560389203,1.607925576,Pneumonia,99.98506,0.014940169,99.98506,person1016_virus_1704.jpeg,1.050404787
0.3,32.2,199.9672852,11875.3125,0.002621174,0.03565526,0.008446693,2.320256928,2.366980055,Pneumonia,99.92436,0.07563251,99.92436,person1017_bacteria_2948.jpeg,1.048877478
0.5,32.1,199.9672852,11875.3125,0.002637863,0.034154892,0.009347439,2.043676406,2.0898166,Pneumonia,99.999985,1.18E-05,99.999985,person1018_bacteria_2949.jpeg,1.048416853
0.4,32.1,199.9672852,11875.3125,0.003041029,0.034134865,0.009027243,2.111014411,2.157217547,Pneumonia,99.2766,0.72339463,99.2766,person1018_virus_1706.jpeg,1.049002886
