Image,Mean_Pneumonia_Probability,Variance_Pneumonia_Probability
person45_virus_95.jpeg,0.43373513,0.0007256273
person142_bacteria_682.jpeg,0.5264389,0.0007743005
person90_bacteria_443.jpeg,0.9025978,0.0027631456
person1663_virus_2876.jpeg,0.6193876,0.0025424522
person126_bacteria_598.jpeg,0.8985197,0.00165942
person144_bacteria_690.jpeg,0.7991818,0.0027330888
person1_virus_8.jpeg,0.78157717,0.0008444715
person57_virus_113.jpeg,0.6473614,0.00090992474
person138_bacteria_658.jpeg,0.24819526,0.000444555
person67_virus_126.jpeg,0.6177813,0.00136457
person47_virus_99.jpeg,0.6288397,0.0022567965
person69_virus_129.jpeg,0.793688,0.001141603
person130_bacteria_627.jpeg,0.63214016,0.0021225482
person121_bacteria_578.jpeg,0.73635316,0.0013970855
person1628_virus_2821.jpeg,0.44754237,0.0008372348
person81_bacteria_395.jpeg,0.5362314,0.00093230803
person1637_virus_2834.jpeg,0.3172932,0.0007026863
person15_virus_46.jpeg,0.6066075,0.0012435366
person60_virus_117.jpeg,0.3241771,0.0008694706
person137_bacteria_655.jpeg,0.71865237,0.0012545667
person71_virus_132.jpeg,0.527647,0.0012896714
person1678_virus_2895.jpeg,0.58886105,0.0021849985
person1680_virus_2897.jpeg,0.5818656,0.00091339665
person114_bacteria_545.jpeg,0.6762097,0.0011056036
person1_virus_6.jpeg,0.65060824,0.0047726138
person3_virus_17.jpeg,0.3040706,0.000463237
person87_bacteria_434.jpeg,0.77466637,0.0018408255
person122_bacteria_583.jpeg,0.64751744,0.002137765
person80_bacteria_390.jpeg,0.78466433,0.0012873976
person120_bacteria_573.jpeg,0.50858897,0.0010833467
person50_virus_102.jpeg,0.58032066,0.0011210471
person1671_virus_2887.jpeg,0.60462606,0.00083924393
person121_bacteria_575.jpeg,0.61695963,0.002061741
person94_bacteria_458.jpeg,0.81245804,0.0014046438
person141_bacteria_670.jpeg,0.7557196,0.002549567
person42_virus_89.jpeg,0.25831988,0.0004377
person150_bacteria_715.jpeg,0.7855435,0.0024430174
